1;1;1;1
2;1;1;2
3;1;1;3
4;1;1;10
5;1;2;11
6;5;13;12
7;11;17;13
8;11;18;14
9;11;19;15
10;11;20;16
13;6;24;
14;6;25;
15;6;26;
16;7;27;
17;7;28;
18;8;27;
19;8;28;
20;9;27;
21;9;28;
22;10;27;
23;10;28;
24;12;29;
25;12;30;
26;5;10;19
27;5;10;20
28;5;11;21
29;5;11;22
30;5;12;23
31;5;12;24
32;5;12;4
33;5;12;5
34;5;12;6
35;5;12;7
36;5;11;4
37;5;11;5
38;5;11;6
39;5;11;7
40;5;10;4
41;5;10;5
42;5;10;6
43;5;10;7
11;5;12;17
31;5;13;25
32;11;17;18
33;11;18;18
34;11;19;18
35;11;20;18
36;11;21;18
37;11;22;18
38;5;11;26
