1;'f38b00';'question_images/rdt_positive.png'
2;'00b3e3';'question_images/rdt_negative.png'
3;'003745';'question_images/rdt_no_tested.png'
4;'f0d100';'question_images/sex_male.png'
5;'799900';'question_images/sex_female.png'
6;'f38b00';'question_images/specie_mix.png'
7;'13a285';'question_images/specie_pf.png'
8;'f0d100';'question_images/specie_pv.png'
9;'799900';'question_images/treatment_child.png'
10;'f38b00';'question_images/treatment_adolescent.png'
11;'00b3e3';'question_images/treatment_adult.png'
12;'f0d100';'question_images/treatment_referral.png'
13;'799900';'question_images/risk_group_forest.png'
14;'f0d100';'question_images/risk_group_plantation.png'
15;'00b3e3';'question_images/risk_group_another_country.png'
16;'003745';'question_images/risk_group_none.png'
