1;1;1;1
2;1;2;2
3;2;4;3
4;2;5;3
5;2;6;3
6;3;8;3
7;3;9;3
8;3;10;3
9;8;11;4
10;8;13;5
11;12;22;6
12;2;4;7
13;2;5;7
14;2;6;7
15;3;8;7
16;3;9;7
17;3;10;7
18;2;4;8
19;2;5;8
20;2;6;8
21;3;8;8
22;3;9;8
23;3;10;8
24;2;4;9
25;2;5;9
26;2;6;9
27;3;8;9
28;3;9;9
29;3;10;9
30;2;4;10
31;2;5;10
32;2;6;10
33;3;8;10
34;3;9;10
35;3;10;10
42;8;13;11
43;12;20;12
44;12;21;13
45;1;1;14
46;1;2;15
47;12;20;16
48;12;21;17
49;12;22;18
50;12;22;19
51;1;25;15
52;1;25;20
53;18;29;21
54;12;20;22
55;12;21;23
56;12;22;24
57;12;34;25
58;12;34;26
59;12;34;27
60;12;35;29
61;12;35;30
62;12;36;31
63;12;36;32
64;12;36;33
65;12;36;34
66;21;38;35
67;21;39;35
68;21;40;35
69;21;38;36
70;21;38;37
71;24;41;38
72;24;43;39
73;21;38;40
74;21;38;41
75;21;38;42
75;21;38;43
76;30;53;44
76;12;35;45
77;32;60;46
78;2;4;47
79;2;5;47
80;2;6;47
81;3;8;47
82;3;9;47
83;3;10;47
75;21;38;48
85;2;4;51
86;2;5;51
87;2;6;51
89;3;8;51
90;3;9;51
91;3;10;51
92;38;63;52
93;32;61;53
94;21;37;54
95;30;48;55
96;30;49;56
97;30;50;57
98;30;51;58
99;30;52;59
101;31;54;61
101;31;55;62
101;31;56;63
101;31;57;64
102;40;63;65
103;2;3;66
104;2;4;67
105;2;5;68
106;2;6;69
107;3;7;70
108;3;8;71
109;3;9;72
110;3;10;73
111;18;26;74
112;18;27;75
113;18;28;76
113;18;29;77
