1;'common_option_method_none';'NON';0;8;1;;;;
2;'common_option_method_condom';'CON';0;8;2;;;;
3;'common_option_method_injection';'INJ';0;8;3;;;;
4;'common_option_method_pills';'PIL';0;8;4;;;;
5;'common_option_method_implant';'IMP';0;8;5;;;;
6;'common_option_method_iud';'IUD';0;8;6;;;;
7;'common_option_method_other';'OTH';0;8;7;;;;
8;'common_option_method_counselling';'COUNS';0;8;7;;;;
9;'common_option_channelOfReferral_healthFacility';'HF';0;9;8;;;;
10;'common_option_channelOfReferral_groupSession';'GS';0;9;9;;;;
11;'common_option_channelOfReferral_doorToDoor';'DD';0;9;10;;;;
12;'common_option_civilStatus_unmarried';'UNMAR';0;10;11;;;;
13;'common_option_civilStatus_divorced';'DIV';0;10;12;;;;
14;'common_option_civilStatus_married';'MAR';0;10;13;;;;
15;'common_option_civilStatus_widowed';'WID';0;10;14;;;;
16;'common_option_ownershipOfPhone_noMobile';'NO';0;11;15;;;;
17;'common_option_ownershipOfPhone_herNumber';'HER';0;11;16;;;;
18;'common_option_ownershipOfPhone_husbandPartner';'PAR';0;11;17;;;;
19;'common_option_ownershipOfPhone_shared';'SHA';0;11;18;;;;
20;'common_option_program_familyPlanning';'FPL';0;13;19;;;;
21;'common_option_gender_male';'M';0;3;22;;;;
22;'common_option_gender_female';'F';0;3;23;;;;
23;'common_option_method_none';'NON';0;14;1;;;;
24;'common_option_method_condom';'CON';0;14;2;;;;
25;'common_option_method_pills';'PIL';0;14;4;;;;
26;'common_option_method_implant';'IMP';0;14;5;;;;
27;'common_option_method_other';'OTH';0;14;7;;;;
28;'common_option_method_icud';'ICUD';0;14;7;;;;'l'
29;'common_option_method_ppiud';'PPIUD';0;14;7;;;;
30;'common_option_method_depo';'DEPO';0;14;7;;;;
31;'common_option_method_ma';'MA';0;14;7;;;;
32;'common_option_method_counselling';'COUNS';0;14;7;;;;
33;'common_option_phoneContactConsent_no';'NO';0;16;7;;;;
34;'common_option_phoneContactConsent_yesp';'YESP';0;16;7;;;;
35;'common_option_phoneContactConsent_yespp';'YESPP';0;16;7;;;;
36;'common_option_isClientReferred_yes';'YES';0;17;7;;;;
37;'common_option_isClientReferred_no';'NO';0;17;7;;;;
38;'common_option_householdDelivery_yes';'YES';0;20;7;;;;
39;'common_option_householdDelivery_no';'NO';0;20;7;;;;
40;'common_option_ageYoungest_0_6M';'0-6M';0;22;7;;;;
41;'common_option_ageYoungest_6_12M';'6-12M';0;22;7;;;;
42;'common_option_ageYoungest_1_2Y';'1-2Y';0;22;7;;;;
43;'common_option_ageYoungest_2Y';'2+Y';0;22;7;;;;
44;'common_option_numberOfLivingChildren_0';0;0;7;7;;;;
45;'common_option_numberOfLivingChildren_1';1;0;7;7;;;;
46;'common_option_numberOfLivingChildren_2';2;0;7;7;;;;
47;'common_option_numberOfLivingChildren_3';3;0;7;7;;;;
48;'common_option_numberOfLivingChildren_4';4;0;7;7;;;;
49;'common_option_numberOfLivingChildren_5';5;0;7;7;;;;
50;'common_option_numberOfLivingChildren_6';6;0;7;7;;;;
51;'common_option_numberOfLivingChildren_7';7;0;7;7;;;;
52;'common_option_numberOfLivingChildren_8';8;0;7;7;;;;
53;'common_option_numberOfLivingChildren_9';9;0;7;7;;;;
54;'common_option_numberOfLivingChildren_10';10;0;7;7;;;;
55;'common_option_numberOfLivingChildren_11';11;0;7;7;;;;
56;'common_option_numberOfLivingChildren_12';12;0;7;7;;;;
57;'common_option_numberOfLivingChildren_13';13;0;7;7;;;;
58;'common_option_numberOfLivingChildren_14';14;0;7;7;;;;
59;'common_option_numberOfLivingChildren_15';15;0;7;7;;;;
60;'common_option_numberOfLivingChildren_16';16;0;7;7;;;;
61;'common_option_numberOfLivingChildren_17';17;0;7;7;;;;
62;'common_option_numberOfLivingChildren_18';18;0;7;7;;;;
63;'common_option_numberOfLivingChildren_19';19;0;7;7;;;;
64;'common_option_numberOfLivingChildren_20';20;0;7;7;;;;
65;'common_option_method_none';'NON';0;23;1;;;;
66;'common_option_method_condom';'CON';0;23;2;;;;
67;'common_option_method_injection';'INJ';0;23;3;;;;
68;'common_option_method_pills';'PIL';0;23;4;;;;
69;'common_option_method_implant';'IMP';0;23;5;;;;
70;'common_option_method_iud';'IUD';0;23;6;;;;
71;'common_option_method_other';'OTH';0;23;7;;;;
